gender,age_category,married,state,number_of_referals_group,tenure,value_deal,phone_service,multiple_lines,internet_service,contract,paperless_billing,payment_method,internet_type_fill,online_security_fill,online_backup_fill,device_protection_plan_fill,premium_support_fill,streaming_tv_fill,streaming_movies_fill,streaming_music_fill,unlimited_data_fill,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_status
0,1,1,11,0,0,0,1,0,1,1,0,0,2,1,1,0,1,0,1,1,1,951,66834,0,0,63172,731512,0
1,3,0,15,3,2,4,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,4915,16905,0,10,12237,30142,1
0,2,1,21,0,0,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,11605,82975,4257,110,187298,1023791,0
1,1,0,12,1,2,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,844,59693,0,0,21939,618869,0
1,5,1,17,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,726,408435,0,140,33208,455643,0
0,2,1,11,3,2,5,1,0,1,2,1,0,2,0,1,1,1,1,1,1,1,1051,36348,0,0,9588,373068,0
0,0,0,7,0,2,5,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,76,158875,73,70,3058,195725,0
0,3,0,20,0,1,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,252,24515,0,0,2057,26572,0
0,5,1,6,3,0,5,1,1,1,2,1,0,2,0,0,0,0,1,1,0,1,951,951,0,0,489,9999,1
0,2,0,6,1,0,1,1,1,1,0,1,1,2,1,0,0,0,1,1,1,1,9965,63112,0,0,9009,640129,0
0,0,1,12,2,1,4,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,-4,248,0,0,0,248,1
0,4,0,19,0,1,4,1,1,1,2,1,0,2,0,0,0,0,0,0,0,1,7585,2566,0,0,13302,38962,1
1,4,1,19,1,1,5,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,548,7313,0,0,13663,86793,0
1,3,0,11,3,1,5,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,202,91745,0,0,211232,302977,0
0,5,1,7,0,0,4,1,1,1,2,1,0,2,0,0,0,0,1,1,0,1,9545,3961,0,0,12644,52254,1
0,1,0,21,3,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,5155,12954,0,0,64142,193682,0
0,5,1,16,0,1,1,1,1,1,0,1,0,2,0,0,1,0,1,1,0,1,10215,473535,0,0,15354,627075,0
0,0,0,7,3,2,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1995,2195,0,0,786,2981,0
0,2,0,12,1,1,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,5605,152265,0,110,123508,286773,0
0,0,1,0,0,2,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,205,29055,0,0,43584,72639,0
0,0,0,17,2,2,3,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,591,77285,0,0,47614,124899,0
0,2,1,7,1,2,1,1,0,1,0,0,0,2,1,0,1,1,0,0,0,1,844,448405,0,0,165564,613969,0
0,0,1,9,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,11255,78065,0,0,23529,804179,0
1,6,0,0,0,2,5,1,1,1,0,0,1,2,1,0,0,0,1,1,1,1,10155,50704,0,0,121716,628756,0
1,4,1,6,3,1,5,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,7555,470785,0,0,39879,510664,0
1,0,0,21,1,2,5,1,1,1,2,1,1,2,0,1,0,0,1,1,1,1,9985,199255,0,0,52206,251461,0
0,1,0,15,3,2,4,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,554,554,0,0,1301,6841,1
1,4,1,18,0,1,5,1,0,1,2,0,0,2,1,0,0,0,0,0,0,1,756,66155,0,0,18999,85154,0
0,2,0,10,1,2,5,1,0,1,2,1,0,2,0,0,0,1,1,1,1,1,959,82745,0,0,2772,110465,0
1,2,0,21,3,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,5875,303855,0,0,0,303855,0
1,4,1,4,2,1,1,1,1,1,2,1,0,2,0,1,1,0,1,1,1,1,1041,513515,0,0,228843,742358,0
0,3,1,12,3,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,462,243195,0,0,0,243195,0
0,1,1,21,0,2,5,1,0,1,2,0,0,1,1,0,0,0,0,0,0,1,494,8748,0,0,37548,125028,1
0,2,0,9,2,2,3,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,492,57115,0,80,11496,76611,0
0,1,1,6,3,2,5,1,1,1,0,1,0,2,1,0,0,1,1,1,1,1,1044,67216,0,0,8928,76144,0
1,0,0,17,3,2,5,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,687,14162,0,0,650,20662,0
1,2,0,5,0,2,3,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,691,10837,0,0,22384,130754,0
1,6,0,17,0,1,5,1,1,1,1,0,0,2,1,0,0,1,0,1,1,1,9375,562555,0,0,12597,575152,0
1,0,0,5,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,5975,40699,0,0,34086,74785,0
0,1,1,15,1,0,3,1,1,1,2,1,0,2,1,0,0,0,1,1,1,1,987,97325,0,0,3736,134685,1
0,4,1,16,1,2,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,7735,539625,0,0,242496,782121,0
0,0,1,11,3,2,4,1,0,1,2,1,2,2,0,0,1,0,0,0,0,0,746,746,0,10,2216,10676,1
0,3,0,17,1,2,5,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,7015,42247,0,0,23328,65575,0
0,0,0,17,3,2,4,0,0,1,2,0,2,1,0,0,0,0,0,0,0,1,243,3845,0,0,0,3845,0
1,2,0,19,3,1,5,1,1,1,2,1,0,2,0,0,1,0,1,1,1,1,1006,10602,0,0,4521,15123,1
1,1,1,14,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,195,11676,1989,0,240198,354969,0
1,1,1,15,0,2,5,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2015,97085,0,0,9475,191835,0
1,2,0,12,3,1,5,1,1,1,2,0,0,2,1,0,1,1,1,0,0,1,994,594365,0,0,92415,68678,0
1,1,0,17,1,1,5,0,0,1,2,1,2,1,0,0,0,0,1,1,1,1,453,453,0,0,0,453,1
1,1,0,17,0,2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,2555,13361,3737,0,176543,306416,0
0,2,1,5,1,2,5,1,1,1,2,1,0,2,0,1,1,0,1,1,1,1,10555,628145,0,0,27877,906915,1
1,5,1,12,3,2,5,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,7515,348035,0,0,42255,39029,0
1,2,1,6,1,2,1,1,0,1,2,1,1,1,0,0,1,0,0,0,0,1,5025,222155,0,0,29205,25136,0
1,5,1,16,2,1,5,1,0,1,2,1,0,2,0,0,0,0,0,0,0,1,718,11678,0,0,7344,19022,1
0,5,0,2,2,1,4,1,0,1,2,0,0,2,0,0,0,0,0,1,0,1,7895,3784,0,0,6135,43975,1
0,1,0,11,0,0,1,1,0,1,2,1,1,1,0,1,0,0,1,1,1,1,691,3168,0,0,146648,463448,0
1,5,0,12,0,2,1,1,1,1,0,1,0,2,0,0,1,1,1,1,0,1,1039,67671,0,0,1027,68698,0
